WatchlistArchive,LandRegistryNumber,PropertyName,HouseNumber,StreetName,Postcode,Borough,Longitude,Latitude,Notes,UpdatesFromTheClient,Status,DateOfFinding,,_1
Archive,,Salvation Army Counceling Center,1,Water Lane,E15 4LU,"London ",0.00918,51.54277,Place been vacant since thew April 2022. Squatted twice.,,Demolision Started,11/12/2023,,
Watchlist,,Lldco Limited,16,Orsman Rd,N1 5QJ,"London ",-0.080144,51.536475,Former medical services company,Owners contacted - under review,Squatters,16/12/2023,,
Watchlist,,"Manor Ballet ",42,"Clapham Manor street ",SW4 6DZ,"London ",-0.136904,51.466394,Former Russian Ballet School in Clapham. Plannig permission here: http://tinyurl.com/5n86mbbv,Using other security company,Squatters,15/02/2024,,
Archive,,Continental House,191,"High Street ",UB7 7XW,West Drayton,-0.4749658108,51.5153389,"Squatters evicted at 4/4 24. Agent phone: 02087073030, his email: paulf@desouza.co.uk",,Squatters,05/03/2024,,
Watchlist,,Hollywell Row,18,Holywell Row,EC2A 4JB,"London ",-0.082377,51.522872,,,Squatters,05/03/2024,,
Watchlist,,Gas Station,219,Caledonian Road,N1C 4UR,"London ",-0.124247,51.534583,Two rave parties on 30/3/24 and 6/4/24,,Squatters,31/03/2024,,
Watchlist,,York & Albany,127-129,Parkway,NW1 7PS,"London ",-0.146397,51.536237,,,Squatters,31/03/2024,,
Watchlist,,63-65 Piccadilly,63-65,"Picacadilly ",W1J 9ED,"London ",-0.140101,51.507793,Rave party 6/4/2024,,Squatters,07/04/2024,,
Watchlist,,MNKY HSE,10,Dover Street,W1S 4LQ,"London ",-0.141627,51.508195,,,Squatters,07/04/2024,,
Watchlist,,Princess May Road,,Princess May Road,N16,"London ",-0.0790364,51.5528318,,,Squatters,16/04/2024,,
Watchlist,,Broadway Bar & Grill,474-476,Fulham Road,SW6 1BY,"London ",-0.194969,51.480593,https://www.instagram.com/fulhambroadwaybar/?hl=en,,Squatters,16/04/2024,,
Watchlist,,The Monarch,40-42,Chalk Farm Rd,NW1 8BG,"London ",-0.14846,51.54296,,,Squatters,13/04/2024,,
Watchlist,,Mr Whites,20-21,Leicester Square,WC2H 7LE,"London ",-0.12929,51.510687,,,Squatters,13/04/2024,,
Watchlist,,King's House,136-144,New Kings Road,SW6 2EB,"London ",-0.187602,51.478978,https://www.dcl.co.uk/property/the-kings-house-541-kings-road-london-sw6-2eb/,,Squatters,30/04/2024,,
Watchlist,,Waterman House,41,Kingsway,WC2B 6TP,"London ",-0.118839,51.514344,https://www.elleric.com/project/waterman-house-kingsway-wc2/,,Squatters,08/05/2024,,
Watchlist,,The Victoria Pub,28,North Hill,N6 4QA,"London ",-0.1516,51.576923,,,Squatters,,,
Watchlist,,Ferdinand Street,7-9,Ferdinand Street,NW1 8ES,"London ",-0.149268,51.543287,https://brucecommercial.co.uk/property/7-9-ferdinand-street-london/,,Squatters,02/05/2024,,
Watchlist,,51 Parker Street,51,Parker Street,WC2B 5PS,"London ",-0.120350,51.516510,,,Squatters,19/5/2024,,
